products
product_id,product_name,product_category,price,,,,,,,
0,Bajaj Frore 1200 mm Ceiling Fan (Brown),appliances,"₹2,660.00",,,,,,,
1,"Bajaj PX 97 Torque New 36L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerf...",appliances,"₹9,050.00",,,,,,,
2,"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN",appliances,"₹1,620.00",,,,,,,
3,atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,appliances,"₹5,190.00",,,,,,,
4,"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",appliances,"₹58,990.00",,,,,,,
5,"Bajaj PMH 25 DLX 24L Personal Air Cooler for home with DuraMarine Pump (2-Yr Warranty), Turbo Fan Technology, Powerful Air...",appliances,"₹7,360.00",,,,,,,
6,CROMPTON SUREBREEZE SEA Sapphira 1200 mm (48 inch) Ceiling Fan (Lustre Brown) 1 Star,appliances,"₹2,599.00",,,,,,,
7,"Bajaj PYGMY MINI 110 MM PERSONAL FAN - WHITE SMOKE, small",appliances,"₹1,785.00",,,,,,,
8,Bajaj New Shakti Neo 15L Vertical Storage Water Heater (Geyser 15 litres) 4 Star BEE Rated Heater For Water Heating with T...,appliances,"₹13,150.00",,,,,,,
9,"AmazonBasics High Speed 55 Watt Oscillating Pedestal Fan, 400mm Sweep Length, White (Without Remote)",appliances,"₹3,300.00",,,,,,,
10,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",appliances,₹665.00,,,,,,,
11,"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",appliances,"₹75,990.00",,,,,,,
